"Success","Group","Year"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","A","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
"Yes","B","One"
